cluster,sentence
0,The cow ate on the bed eagerly.
0,The cat slept on the water curiously.
0,The hamster hid on the mat silently.
0,The dog slept on the tree sadly.
0,The lion jumped on the grass sadly.
0,The hamster slept on the field curiously.
0,The hamster roared on the grass sadly.
0,The rat ate on the barn bravely.
0,The tiger jumped on the food eagerly.
0,The cat slept on the field happily.
0,The tiger slept on the nest calmly.
0,The parrot sat on the food quickly.
0,The hamster ran on the tree sadly.
0,The hamster rested on the mat silently.
0,The parrot slept on the nest sadly.
0,The elephant slept on the food sadly.
0,The dog hid on the field curiously.
0,The dog sat on the mat loudly.
0,The cow jumped on the food silently.
0,The rabbit ate on the tree sadly.
0,The cow roared on the water bravely.
0,The lion hid on the water sadly.
0,The parrot sat on the barn bravely.
0,The parrot rested on the cage happily.
0,The lion ran on the grass sadly.
0,The parrot rested on the water happily.
0,The lion sat on the mat curiously.
0,The parrot ate on the field curiously.
0,The tiger jumped on the barn curiously.
0,The hamster jumped on the mat quickly.
0,The elephant ran on the water curiously.
0,The lion slept on the mat calmly.
0,The hamster sat on the tree gracefully.
0,The rabbit jumped on the tree gracefully.
0,The lion hid on the bed calmly.
1,The rabbit played on the mat calmly.
1,The tiger played on the mat quickly.
0,The cow rested on the bed quickly.
0,The cow jumped on the cage curiously.
0,The dog hunted on the tree eagerly.
0,The parrot sat on the grass calmly.
1,The rabbit ran on the bed gracefully.
1,The tiger played on the water happily.
0,The hamster ran on the nest quickly.
1,The cow slept on the tree silently.
0,The cat played on the cage calmly.
0,The cat jumped on the mat happily.
0,The rat ate on the food silently.
0,The hamster jumped on the bed quickly.
0,The cow slept on the nest eagerly.
0,The hamster played on the nest loudly.
0,The lion jumped on the grass loudly.
0,The dog played on the grass bravely.
0,The dog jumped on the nest silently.
0,The cat hid on the tree bravely.
0,The cat ate on the grass gracefully.
0,The rabbit hunted on the tree eagerly.
0,The elephant hunted on the field bravely.
0,The rat slept on the barn happily.
0,The elephant hunted on the water calmly.
0,The rat hid on the nest silently.
0,The cat sat on the grass happily.
0,The rabbit sat on the barn loudly.
0,The hamster hid on the grass silently.
0,The rabbit roared on the water loudly.
0,The elephant played on the field loudly.
0,The dog jumped on the tree silently.
1,The tiger ate on the nest silently.
0,The elephant played on the barn gracefully.
0,The lion hid on the grass silently.
0,The dog slept on the water happily.
0,The rat jumped on the field silently.
0,The hamster hunted on the bed gracefully.
0,The dog slept on the cage calmly.
0,The parrot sat on the bed calmly.
0,The dog slept on the field bravely.
1,The tiger hid on the field silently.
0,The elephant jumped on the barn gracefully.
0,The dog hid on the mat happily.
0,The cow hunted on the barn quickly.
0,The parrot sat on the food curiously.
0,The rat played on the bed loudly.
0,The lion hunted on the cage happily.
0,The cat ran on the cage gracefully.
0,The rat ate on the food happily.
0,The hamster jumped on the water calmly.
0,The cat jumped on the field bravely.
0,The cow hunted on the food loudly.
0,The cat sat on the cage silently.
0,The tiger roared on the water quickly.
0,The cow sat on the grass quickly.
0,The cow ran on the mat sadly.
0,The elephant rested on the bed loudly.
0,The lion slept on the tree loudly.
0,The lion ate on the cage loudly.
0,The parrot roared on the food eagerly.
0,The lion jumped on the tree bravely.
0,The hamster played on the water loudly.
0,The dog hid on the nest bravely.
0,The tiger hid on the cage gracefully.
0,The rat sat on the bed curiously.
0,The elephant hunted on the field bravely.
0,The hamster ate on the nest quickly.
0,The elephant hid on the mat silently.
0,The rabbit rested on the water gracefully.
0,The rat rested on the food happily.
0,The rabbit hunted on the grass bravely.
0,The rabbit rested on the tree eagerly.
0,The tiger hunted on the cage curiously.
0,The elephant slept on the cage eagerly.
0,The parrot jumped on the water quickly.
0,The cat hid on the grass calmly.
0,The dog hid on the water eagerly.
1,The cow played on the bed eagerly.
0,The cat hid on the cage silently.
0,The parrot ate on the cage happily.
0,The lion slept on the cage gracefully.
0,The lion ran on the water calmly.
0,The lion sat on the water curiously.
0,The elephant hid on the food quickly.
1,The tiger played on the mat curiously.
0,The dog roared on the grass eagerly.
0,The elephant ate on the grass eagerly.
0,The cat ran on the tree happily.
0,The parrot ran on the tree eagerly.
0,The rabbit rested on the barn sadly.
1,The hamster jumped on the bed silently.
0,The hamster roared on the cage eagerly.
0,The dog sat on the tree bravely.
1,The tiger played on the field silently.
0,The cow hid on the water silently.
0,The elephant hid on the food silently.
0,The rabbit ate on the nest sadly.
0,The rat slept on the grass bravely.
0,The cow played on the barn gracefully.
0,The rat played on the grass happily.
0,The lion roared on the bed quickly.
0,The parrot ran on the field quickly.
0,The cat slept on the grass curiously.
0,The lion slept on the field eagerly.
0,The hamster sat on the food quickly.
0,The rabbit played on the tree loudly.
0,The cow ate on the nest silently.
0,The dog hid on the mat silently.
0,The parrot jumped on the grass eagerly.
0,The cat sat on the cage happily.
0,The rat ate on the food loudly.
0,The cow roared on the field loudly.
0,The rabbit sat on the grass gracefully.
0,The cow hid on the water eagerly.
0,The parrot roared on the barn curiously.
0,The hamster ran on the grass silently.
0,The cow rested on the tree gracefully.
0,The lion ran on the cage happily.
0,The hamster sat on the food quickly.
0,The rat sat on the field curiously.
0,The cow jumped on the mat bravely.
0,The cow rested on the grass silently.
0,The parrot ran on the field eagerly.
0,The elephant sat on the cage calmly.
0,The hamster ran on the bed sadly.
0,The hamster roared on the water bravely.
0,The parrot jumped on the barn quickly.
1,The elephant played on the mat silently.
0,The rat roared on the grass silently.
0,The elephant hunted on the grass gracefully.
1,The cat ran on the field silently.
0,The hamster ate on the bed happily.
0,The tiger hid on the cage bravely.
0,The lion jumped on the nest loudly.
0,The rat jumped on the mat loudly.
0,The lion roared on the cage bravely.
0,The cow ran on the water happily.
0,The rat played on the cage quickly.
0,The rabbit sat on the mat calmly.
0,The cow jumped on the food quickly.
0,The elephant ate on the barn happily.
0,The rat played on the nest gracefully.
0,The lion played on the tree loudly.
0,The elephant roared on the food sadly.
0,The rabbit hunted on the bed eagerly.
0,The hamster rested on the food loudly.
0,The rabbit rested on the tree happily.
0,The tiger roared on the barn loudly.
0,The elephant played on the food sadly.
0,The cow ate on the food loudly.
0,The dog roared on the bed sadly.
0,The tiger roared on the tree bravely.
0,The hamster hunted on the field curiously.
0,The cow played on the food loudly.
1,The elephant played on the bed happily.
0,The rat slept on the water quickly.
0,The tiger rested on the water calmly.
0,The elephant hunted on the mat sadly.
0,The lion roared on the nest loudly.
0,The dog sat on the food gracefully.
1,The cow played on the water happily.
